出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/04/11","115/3","4745","合富-KY","生技醫療業","258351","205683","301398","25.606394305800674","-14.28244381183684","702143","794320","-11.60451707120556","-"
"115/04/11","115/3","4747","強生製藥","生技醫療業","50384","37851","47210","33.11141053076537","6.723151874602839","146593","146792","-0.1355659708975966","-"
"115/04/11","115/3","4749","新應材","半導體業","432973","445762","326356","-2.8690197908300843","32.66892595815612","1245693","959316","29.85220719762831","-"
"115/04/11","115/3","4754","國碳科","化學工業","59038","37733","78294","56.46251291972544","-24.59447722686285","156533","194684","-19.596371555957347","-"
"115/04/11","115/3","4760","勤凱科技","其他電子業","247746","170398","143812","45.39255155576944","72.2707423580786","627462","412466","52.1245387498606","本月較去年同月份出貨量增加"
"115/04/11","115/3","4767","誠泰科技","化學工業","87327","67199","92900","29.95282667896844","-5.998923573735199","232361","257888","-9.898483062414691","-"
"115/04/11","115/3","4768","晶呈科技","化學工業","175782","100995","69061","74.05020050497549","154.53150113667627","441245","171272","157.62821710495587","本月營收較去年同期增加乃因客戶需求增加"
"115/04/11","115/3","4772","台特化","化學工業","279573","288878","71743","-3.2210829485111363","289.68679871206945","856585","219619","290.03228318132767","合併弘潔科技營業收入"
"115/04/11","115/3","4804","大略-KY","觀光餐旅","13458","7857","12284","71.28675066819396","9.557147508954738","30486","27657","10.228875149148498","-"
"115/04/11","115/3","4806","桂田文創","文化創意業","13931","10508","5428","32.57518081461743","156.65070007369198","48189","16542","191.31302140007253","各業務團隊的整合開始發揮綜效，形塑娛樂產業一條龍的完整服務架構。"
"115/04/11","115/3","4903","聯光通","通信網路業","118694","112820","94718","5.206523666016664","25.31303448130239","357123","197211","81.08675479562498","本月合併營收較去年增加，主係本期子公司工程合約收入較去年同期增加所致。"
"115/04/11","115/3","4905","台聯電","通信網路業","68246","58701","43490","16.260370351442052","56.923430673718094","208681","150902","38.289088282461464","本月訂單增加"
"115/04/11","115/3","4907","富宇","建材營造","999983","0","7278","","13639.804891453696","999983","368676","171.2362616497955","建案過戶入帳"
"115/04/11","115/3","4908","前鼎","通信網路業","90760","77587","85649","16.978359776766727","5.967378486613971","265443","212287","25.03968683904337","-"
"115/04/11","115/3","4909","新復興","通信網路業","20997","11186","20444","87.70784909708564","2.704950107611035","51692","118699","-56.45119166968551","1.去年基期高 2.主要5G天線客戶訂單減少"
"115/04/11","115/3","4911","德英","生技醫療業","10635","10849","26469","-1.9725320306018987","-59.82092258868865","32217","80137","-59.79759661579545","公司行銷團隊建置中"
"115/04/11","115/3","4923","力士","半導體業","85262","85194","70312","0.07981782754654083","21.262373421322106","250563","191347","30.946918425687365","-"
"115/04/11","115/3","4924","欣厚-KY","電腦及週邊設備業","83443","61796","38463","35.02977538999288","116.94355614486649","237754","172250","38.02844702467344","主要係生質燃料近期客戶拉貨需求增加所致"
"115/04/11","115/3","4931","新盛力","電腦及週邊設備業","283109","218293","207984","29.692202681716775","36.12056696668974","791378","656511","20.54299166350602","-"
"115/04/11","115/3","4933","友輝","光電業","293057","171696","282072","70.68365017239772","3.8943957571116594","735194","744941","-1.3084257679467233","-"
"115/04/11","115/3","4939","亞電","電子零組件業","116999","67743","119256","72.71009550802297","-1.892567250285101","314426","335309","-6.227986722694589","-"
"115/04/11","115/3","4946","辣椒","文化創意業","20875","41136","45691","-49.253695060287825","-54.312665513996194","79887","118526","-32.59959840035098","主係今年新遊戲2月上線後，玩家對新遊戲熱度不如預期，故本期營收較去年同期為低。"
"115/04/11","115/3","4950","金耘國際","鋼鐵工業","99962","79148","85343","26.297569111032495","17.12970015115475","269171","244035","10.300161862027988","-"
"115/04/11","115/3","4951","精拓科","半導體業","46250","41158","42047","12.37183536614996","9.995956905367803","130695","124592","4.89838833954026","-"
"115/04/11","115/3","4953","緯軟","資訊服務業","1213819","1045892","925821","16.05586427661747","31.107309080264976","3398886","2641667","28.66443802341476","-"
"115/04/11","115/3","4966","譜瑞-KY","半導體業","1477104","1216715","1429088","21.400985440304428","3.3599050583309076","3991261","4152383","-3.8802297379601063","-"
"115/04/11","115/3","4971","IET-KY","半導體業","109437","111253","94314","-1.632315533064277","16.034735034035243","332150","270444","22.816553519397733","-"
"115/04/11","115/3","4972","湯石照明","光電業","67302","60783","99027","10.725038250826712","-32.036717258929386","217033","225597","-3.7961497714951884","-"
"115/04/11","115/3","4973","廣穎電通","半導體業","868978","544186","437139","59.684005101197016","98.78757100144348","2077977","1189086","74.75413889323396","本月營收較去年同期增加係因市場價格上漲所致"
"115/04/11","115/3","4974","亞泰","電子零組件業","357750","221846","454055","61.260514050287135","-21.209985574434814","951262","1101790","-13.662131622178455","-"
"115/04/11","115/3","4979","華星光","通信網路業","451568","329586","375732","37.010673997075116","20.183535072871088","1193478","1066906","11.863463135458982","-"
"115/04/11","115/3","4987","科誠","電腦及週邊設備業","115328","100484","96160","14.772501094701644","19.933444259567388","315234","281856","11.842217302452315","-"
"115/04/11","115/3","4991","環宇-KY","半導體業","338030","157084","241498","115.19059866058925","39.972173682597784","714680","473170","51.04085212502906","延續去年走勢，自有光電元件產品的AI數據中心客戶需求持續成長，晶圓代工訂單需求亦持續穩健，致累積銷量較去年增加51%。"
"115/04/11","115/3","4995","晶達","光電業","131110","86906","106814","50.86415207235404","22.746081974273036","343493","310521","10.618283465530512","-"
"115/04/11","115/3","5009","榮剛","鋼鐵工業","1031763","801370","1083832","28.749890811984475","-4.804157839960436","2877277","3036192","-5.234023408269306","-"
"115/04/11","115/3","5011","久陽","鋼鐵工業","394240","399328","485432","-1.2741405561343055","-18.78574136027291","1168006","1405578","-16.902085832305286","-"
"115/04/11","115/3","5013","強新","鋼鐵工業","784265","414969","794951","88.99363566917047","-1.344233795542115","1901836","1928175","-1.3660067161953662","-"
"115/04/11","115/3","5014","建錩","鋼鐵工業","1536957","647147","1517237","137.49735376969994","1.2997310242236382","3648525","3263878","11.78496867836359","-"
"115/04/11","115/3","5015","華祺","鋼鐵工業","119686","74799","135931","60.0101605636439","-11.950916273697684","277601","410301","-32.34210981693927","-"
"115/04/11","115/3","5016","松和","鋼鐵工業","213450","126336","200464","68.95421732522796","6.477971107031687","492602","504172","-2.294851756940092","-"
"115/04/11","115/3","5201","凱衛","資訊服務業","18470","18732","33647","-1.3986760623531924","-45.106547389068865","61130","71461","-14.456836596185331","-"
"115/04/11","115/3","5202","力新","資訊服務業","10043","8036","9764","24.97511199601792","2.8574354772634165","29886","31186","-4.168537164112101","-"
"115/04/11","115/3","5205","中茂","綠能環保","1442","1253","992","15.083798882681565","45.36290322580645","7764","4169","86.23171024226433","係因本期清運收入較同期增加"
"115/04/11","115/3","5206","坤悅","建材營造","1657366","0","1164022","","42.38270410696705","1684386","1164022","44.703966076242544","本期累計營業收入較去年增加，主要係因本期「君睿」完工交屋過戶認列收入所致。"
"115/04/11","115/3","5209","新鼎","其他","296742","245054","361061","21.092493899303825","-17.813887404067458","841083","1094757","-23.171717559239173","-"
"115/04/11","115/3","5210","寶碩","資訊服務業","22401","21998","31125","1.8319847258841713","-28.0289156626506","65583","67593","-2.9736807065820425","-"
"115/04/11","115/3","5211","蒙恬","資訊服務業","22164","18673","17213","18.695442617683288","28.763144135246616","58020","41658","39.276969609678815","-"
"115/04/11","115/3","5212","凌網","資訊服務業","85161","71993","70726","18.290667148194963","20.409750303990045","248673","234837","5.891746189910449","-"
"115/04/11","115/3","5213","亞昕","建材營造","516283","431871","4655122","19.545651363485856","-88.90935618873146","1250675","7774911","-83.91396377399047","115Q1僅認列餘屋及租金收入"
"115/04/11","115/3","5220","萬達光電","光電業","101850","53547","68163","90.2067342708275","49.421240262312395","268243","211286","26.957299584449515","-"
"115/04/11","115/3","5223","安力-KY","電腦及週邊設備業","162549","102043","172882","59.29461109532256","-5.9769091056327435","442424","446982","-1.0197278637618516","-"
"115/04/11","115/3","5227","立凱-KY","電子零組件業","11120","29155","51506","-61.85902932601612","-78.4102822972081","50186","194211","-74.15903321645015","因需求減少，營業收入減少"
"115/04/11","115/3","5228","鈺鎧","電子零組件業","81255","33586","44617","141.93116179360447","82.1166819822041","180627","121912","48.16178883128814","訂單回溫"
"115/04/11","115/3","5230","雷笛克光學","光電業","108203","80091","117692","35.10007366620469","-8.062570098222478","305076","301475","1.1944605688697238","-"
"115/04/11","115/3","5236","凌陽創新","半導體業","234713","152382","167576","54.029347298237326","40.06361292786556","587273","505534","16.168843242986625","-"
"115/04/11","115/3","5245","智晶","光電業","56940","44277","72544","28.599498611017008","-21.509704455227173","171935","213673","-19.533586367954772","-"
"115/04/11","115/3","5251","天鉞電","光電業","38841","25171","31891","54.30852965714513","21.79298234611646","89043","97008","-8.21066303809995","-"
"115/04/11","115/3","5263","智崴","文化創意業","159219","85065","91477","87.17333803561982","74.05358724050855","328575","258930","26.897230911829453","因增加新訂單，本月依工程進度認列營收，致2026年3月營收較去年同期增加。"
"115/04/11","115/3","5272","笙科","半導體業","26660","20220","38422","31.84965380811078","-30.61266982457967","69310","85318","-18.76274643099932","-"
"115/04/11","115/3","5274","信驊","半導體業","1235429","1010964","755030","22.203065588883483","63.626478418076104","3146757","2065118","52.37661964110526","本月及本年增減百分比達50%以上者，主係伺服器晶片營收較去年同期成長所致。"
"115/04/11","115/3","5276","達輝-KY","其他","87279","76283","78152","14.414745093926562","11.678523902139421","247046","236388","4.508689104353859","-"
"115/04/11","115/3","5278","尚凡*","數位雲端","244172","189381","203957","28.93162460859326","19.717391410934656","628877","537627","16.972733884272927","-"
"115/04/11","115/3","5287","數字","數位雲端","196410","165031","202689","19.014003429658672","-3.0978494146204283","550665","545969","0.8601220948442128","-"
"115/04/11","115/3","5289","宜鼎","電腦及週邊設備業","5672453","4178683","970015","35.74738739454512","484.7799260836173","13182608","2618742","403.39468340141946","本月營收及本年累計營收較去年同期增加係因出貨量增加及銷售單價上漲所致"
"115/04/11","115/3","5291","邑昇","電子零組件業","116514","84806","82263","37.38886399547202","41.6359724298895","322031","257144","25.233721183461405","-"
"115/04/11","115/3","5299","杰力","半導體業","142389","113858","138391","25.058406084772262","2.888916186746248","386610","406223","-4.828136269979789","-"
"115/04/11","115/3","5301","寶得利","觀光餐旅","21656","17291","20645","25.244346769995953","4.897069508355534","57911","52599","10.099051312762601","-"
"115/04/11","115/3","5302","太欣","半導體業","2350","1998","1009","17.61761761761762","132.90386521308227","6780","2786","143.35965541995694","本月及累計營收較去年同期成長主要係提供技術服務予關係人。"
"115/04/11","115/3","5309","系統電","電子零組件業","291659","286692","310150","1.7325213120700962","-5.961953893277446","863335","873387","-1.1509216418380397","-"
"115/04/11","115/3","5310","天剛","資訊服務業","16","24","33","-33.333333333333336","-51.515151515151516","124","94","31.914893617021278","本月營收減少係因資訊系統整合業務銷售量較去年同期減少所致"
"115/04/11","115/3","5312","寶島科","生技醫療業","413380","335453","339907","23.230378026131827","21.615618389736017","1125305","1013537","11.027520455592642","單月創歷史新高及累計營收創同期歷史新高"
"115/04/11","115/3","5314","世紀*","其他","449818","343315","193456","31.021947773910256","132.51695475973864","1282994","472521","171.52105409071766","本月主要成長係生技產品營收增加及子公司營收增加，致本月及本年度營收較去年同期增加。"
"115/04/11","115/3","5315","光聯","光電業","163834","134897","170375","21.45118127163688","-3.839178283198826","465852","499223","-6.684587849518151","-"
"115/04/11","115/3","5321","美而快","數位雲端","170293","188725","223160","-9.766591601536627","-23.69017745115612","573003","748215","-23.41733325314248","-"
"115/04/11","115/3","5324","士開","建材營造","65735","52997","63422","24.03532275411816","3.646999463908423","176980","238910","-25.921895274371103","-"
"115/04/11","115/3","5328","華容","電子零組件業","87058","56884","80360","53.044792911890866","8.334992533598806","234435","207718","12.862149645192039","-"
"115/04/11","115/3","5340","建榮","電子零組件業","223796","193126","188885","15.880823918063856","18.48267464330148","629408","515163","22.176476183266267","-"
"115/04/11","115/3","5344","立衛","半導體業","33451","25843","29018","29.439306582053167","15.276724791508718","90905","71784","26.636855009472864","-"
