出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/03/10","115/2","6432","今展科","電子零組件業","74257","112898","82687","-34.226469910893016","-10.195072986080037","187155","173875","7.637670740474479","-"
"115/03/10","115/2","6435","大中","半導體業","305210","335851","301016","-9.123391027568774","1.3932814202567305","641061","635438","0.8849014380631942","-"
"115/03/10","115/2","6441","廣錠","電腦及週邊設備業","10276","8120","38334","26.551724137931036","-73.19350967809255","18396","68459","-73.12844184110197","因客戶舊專案已全數出貨，新專案尚未開始出貨，使本期拉貨數量減少，致營收下降。"
"115/03/10","115/2","6461","益得","生技醫療業","1607","7393","5832","-78.26322196672528","-72.44513031550069","9000","7328","22.816593886462883","本月較去年同期減少，主要因經銷商備貨減少所致。"
"115/03/10","115/2","6462","神盾","半導體業","457991","1031213","344513","-55.587158036215605","32.938669948594104","1489204","688142","116.40940387303783","主係合併子公司營收陸續於本年度出貨"
"115/03/10","115/2","6465","威潤","通信網路業","19249","28855","13252","-33.29059088546179","45.25354663447027","48104","26281","83.0371751455424","本月因增加其他電子產品銷售、致本月較上期營收增加"
"115/03/10","115/2","6469","大樹","生技醫療業","1552030","1603658","1485376","-3.2193896703661253","4.487348657848249","3155688","3096779","1.90226683919001","-"
"115/03/10","115/2","6470","宇智","通信網路業","91265","94816","187907","-3.7451484981437733","-51.430760961539484","186081","363246","-48.772732528369204","終端客戶庫存調節"
"115/03/10","115/2","6474","華豫寧","電子通路業","203489","354583","333976","-42.61174393583449","-39.070771552446885","558072","617113","-9.567291565726212","-"
"115/03/10","115/2","6482","弘煜科","文化創意業","21393","42450","33156","-49.60424028268551","-35.47774158523344","63843","90479","-29.438875319134826","-"
"115/03/10","115/2","6485","點序","半導體業","82177","136579","136143","-39.831892164974114","-39.63920289695394","218756","259690","-15.76264007085371","-"
"115/03/10","115/2","6486","互動","通信網路業","129887","136265","186228","-4.680585623601071","-30.253774942543547","266152","302383","-11.98182437504754","-"
"115/03/10","115/2","6488","環球晶","半導體業","4399603","4139278","5324413","6.289140280019849","-17.36923863719813","8538881","10153596","-15.902888001452885","-"
"115/03/10","115/2","6492","生華科","生技醫療業","80","80","84","0.0","-4.761904761904762","160","167","-4.191616766467066","-"
"115/03/10","115/2","6494","九齊","半導體業","82802","130829","75342","-36.70975089620803","9.901515754824667","213631","160448","33.146564619066616","-"
"115/03/10","115/2","6496","科懋","生技醫療業","56444","95614","60406","-40.96680402451524","-6.558951097573089","152058","131175","15.919954259576901","-"
"115/03/10","115/2","6498","久禾光","光電業","96714","123031","80497","-21.39054384667279","20.14609240095904","219745","169429","29.69739536915168","-"
"115/03/10","115/2","6499","益安","生技醫療業","47907","30268","36210","58.276067133606446","32.30323115161558","78175","63167","23.759241376034954","本月營收較去年同期增長，係因CDMO事業體業務成長所致"
"115/03/10","115/2","6506","雙邦","紡織纖維","130890","207965","165080","-37.06152477580362","-20.711170341652533","338855","319061","6.203829361783483","-"
"115/03/10","115/2","6508","惠光","農業科技","92361","137966","117273","-33.05524549526695","-21.242741295950474","230327","234446","-1.7569077740716412","-"
"115/03/10","115/2","6509","聚和","化學工業","340181","568229","378885","-40.13311534610166","-10.215236813281075","908410","869919","4.424664825115902","-"
"115/03/10","115/2","6510","精測","半導體業","415798","454126","383269","-8.439948384369096","8.487250468991753","869924","764002","13.864099832199392","-"
"115/03/10","115/2","6512","啟發電","其他電子業","8561","8059","9729","6.229060677503412","-12.005344845307842","16620","30333","-45.20818910097913","-"
"115/03/10","115/2","6516","勤崴國際","資訊服務業","62107","57437","60914","8.13064749203475","1.9584988672554748","119543","99272","20.41965508904827","-"
"115/03/10","115/2","6517","保勝光學","光電業","33038","26304","45709","25.60066909975669","-27.721017742676498","59342","91195","-34.92845002467241","-"
"115/03/10","115/2","6523","達爾膚","生技醫療業","106684","89883","78379","18.692077478499826","36.112989448704376","196567","200305","-1.8661541149746637","-"
"115/03/10","115/2","6527","明達醫","生技醫療業","44490","74509","71695","-40.289092592841136","-37.945463421438035","118999","140395","-15.239858969336515","-"
"115/03/10","115/2","6530","創威","通信網路業","29098","30563","25230","-4.793377613454177","15.330955212049147","59660","49574","20.345342316536893","-"
"115/03/10","115/2","6532","瑞耘","半導體業","41777","50141","63909","-16.68095969366387","-34.630490228293354","91918","125995","-27.046311361561965","-"
"115/03/10","115/2","6535","順藥","生技醫療業","30","3951","40","-99.24069855732726","-25.0","3981","80","4876.25","本年累計銷貨收入較去年同期增加"
"115/03/10","115/2","6538","倉和","電子零組件業","96309","90060","117945","6.938707528314457","-18.344143456695917","186369","262456","-28.990383149937514","-"
"115/03/10","115/2","6542","隆中","文化創意業","91362","85815","71725","6.463904911728719","27.378180550714536","177177","147526","20.098830036739287","-"
"115/03/10","115/2","6546","正基","通信網路業","112489","190875","197699","-41.06666666666667","-43.100875573472806","303364","394375","-23.077274167987323","-"
"115/03/10","115/2","6547","高端疫苗","生技醫療業","25307","37098","33821","-31.78338454903229","-25.173708642559358","62405","69784","-10.574057090450532","-"
"115/03/10","115/2","6548","長科*","半導體業","1143841","1200739","1020298","-4.738581823360447","12.108521235952633","2344580","2075451","12.96725386434081","-"
"115/03/10","115/2","6556","勝品","光電業","96643","132846","113895","-27.251855531969348","-15.147284779841081","229489","243124","-5.60824928842895","-"
"115/03/10","115/2","6560","欣普羅","光電業","17651","36899","11317","-52.16401528496707","55.968896350622956","54550","19660","177.46693794506612","因主要客戶訂單逐漸回穩並陸續開始出貨。"
"115/03/10","115/2","6561","是方","通信網路業","318767","315809","297619","0.9366420842977876","7.105729136916662","634576","614157","3.3247199006117327","-"
"115/03/10","115/2","6568","宏觀","半導體業","72967","123987","65636","-41.14947534822199","11.169175452495582","196954","180318","9.225923091427367","-"
